Date,AAPL,negative,neutral,positive,AAPL_target
2009-04-27 15:30:00,4.4532,0.0,0.0,1.0,4.4468
2009-04-29 09:30:00,4.4389,0.0,1.0,0.0,4.4446
2009-05-22 14:30:00,4.4,0.0,0.0,1.0,4.3786
2009-06-01 11:30:00,4.9517,1.0,0.0,0.0,4.9454
2009-06-02 14:30:00,4.989,0.73,0.0,1.0,4.9682
2009-06-15 10:30:00,4.8446,0.0,1.0,0.0,4.8343
2009-06-16 14:30:00,4.8936,0.0,1.0,0.0,4.9029
2009-07-07 12:30:00,4.8593,0.0,1.0,0.0,4.8725
2009-07-08 13:30:00,4.8657,0.0,1.0,0.0,4.8246
2009-07-10 10:30:00,4.9436,0.78,0.0,0.0,4.9107
2009-07-15 15:30:00,5.2435,0.0,1.0,0.0,5.2345
2009-07-17 15:30:00,5.3961,1.0,0.0,0.0,5.3975
2009-07-21 15:30:00,5.4029,0.0,0.0,1.0,5.365
2009-07-24 14:30:00,5.6894,0.0,1.0,0.0,5.7129
2009-07-27 09:30:00,5.7175,0.0,0.8466666666666667,0.0,5.6979
2009-07-27 10:30:00,5.6479,0.995,0.0,0.97,5.7175
2009-07-27 11:30:00,5.6904,1.0,1.0,1.0,5.6479
2009-07-27 12:30:00,5.6825,0.0,1.0,0.0,5.6904
2009-07-27 13:30:00,5.6779,1.0,0.99,0.0,5.6825
2009-07-27 14:30:00,5.6979,1.0,0.87,1.0,5.6779
2009-08-03 13:30:00,5.925,0.0,1.0,0.0,5.9232
2009-08-06 10:30:00,5.8707,0.0,1.0,0.0,5.9403
2009-08-06 15:30:00,5.8654,0.0,1.0,1.0,5.8586
2009-08-07 09:30:00,5.9204,0.0,1.0,0.0,5.8654
2009-08-07 10:30:00,5.9143,1.0,1.0,1.0,5.9204
2009-08-07 11:30:00,5.9357,0.0,1.0,0.0,5.9143
2009-08-07 12:30:00,5.9419,0.0,1.0,0.0,5.9357
2009-08-07 13:30:00,5.9371,0.0,1.0,1.0,5.9419
2009-08-07 14:30:00,5.9314,0.99,1.0,0.0,5.9371
2009-08-07 15:30:00,5.9304,0.995,1.0,0.0,5.9314
2009-08-10 09:30:00,5.9286,1.0,0.995,0.0,5.9304
2009-08-10 10:30:00,5.9225,0.0,1.0,0.98,5.9286
2009-08-10 11:30:00,5.89,0.98,1.0,0.0,5.9225
2009-08-10 12:30:00,5.8832,0.0,0.98,0.0,5.89
2009-08-10 13:30:00,5.8732,0.0,0.78,1.0,5.8832
2009-08-10 14:30:00,5.8556,0.0,0.975,1.0,5.8732
2009-08-10 15:30:00,5.8757,0.0,1.0,0.0,5.8556
2009-08-12 10:30:00,5.9089,1.0,1.0,1.0,5.8346
2009-08-12 11:30:00,5.9239,0.0,0.9633333333333334,0.0,5.9089
2009-08-12 12:30:00,5.9168,1.0,1.0,0.0,5.9239
2009-08-12 13:30:00,5.9175,1.0,0.995,0.0,5.9168
2009-08-12 14:30:00,5.8989,0.99,1.0,0.52,5.9175
2009-08-12 15:30:00,5.9407,0.0,1.0,1.0,5.8989
2009-08-13 09:30:00,5.9921,0.0,1.0,0.0,5.9407
2009-08-13 10:30:00,5.9804,0.0,0.97,0.995,5.9921
2009-08-13 11:30:00,6.0036,1.0,1.0,0.0,5.9804
2009-08-13 12:30:00,6.0025,1.0,1.0,1.0,6.0036
2009-08-13 13:30:00,5.9971,0.0,0.0,0.94,6.0025
2009-08-13 14:30:00,5.9796,0.0,1.0,0.98,5.9971
2009-08-13 15:30:00,5.9996,0.0,1.0,1.0,5.9796
2009-08-14 09:30:00,5.9952,0.0,1.0,0.0,5.9996
2009-08-14 10:30:00,5.9386,0.935,0.83,0.0,5.9952
2009-08-14 11:30:00,5.9193,0.0,0.9866666666666668,0.0,5.9386
2009-08-14 12:30:00,5.9147,0.0,1.0,0.62,5.9193
2009-08-14 13:30:00,5.9225,0.0,1.0,0.63,5.9147
2009-08-14 14:30:00,5.9304,1.0,1.0,0.0,5.9225
2009-08-14 15:30:00,5.9258,1.0,1.0,0.0,5.9304
2009-08-17 09:30:00,5.7975,0.0,1.0,1.0,5.9258
2009-08-17 10:30:00,5.7991,1.0,1.0,1.0,5.7975
2009-08-17 11:30:00,5.7886,1.0,1.0,0.0,5.7991
2009-08-17 12:30:00,5.7807,1.0,1.0,0.0,5.7886
2009-08-17 13:30:00,5.7563,0.0,1.0,0.0,5.7807
2009-08-17 14:30:00,5.747,0.0,1.0,1.0,5.7563
2009-08-17 15:30:00,5.7107,0.0,1.0,1.0,5.747
2009-08-18 09:30:00,5.784,0.0,1.0,1.0,5.7107
2009-08-18 10:30:00,5.8046,0.0,1.0,1.0,5.784
2009-08-18 11:30:00,5.8179,0.0,1.0,0.0,5.8046
2009-08-18 12:30:00,5.8329,0.0,1.0,1.0,5.8179
2009-08-18 13:30:00,5.8332,1.0,1.0,1.0,5.8329
2009-08-18 14:30:00,5.8371,0.99,0.945,0.0,5.8332
2009-08-18 15:30:00,5.8596,0.99,1.0,1.0,5.8371
2009-08-21 11:30:00,6.0246,0.0,1.0,1.0,6.0229
2009-08-21 13:30:00,6.0146,0.0,1.0,0.0,6.0251
2009-08-24 10:30:00,6.086,0.0,0.0,1.0,6.0696
2009-08-24 11:30:00,6.0804,0.0,1.0,1.0,6.086
2009-08-24 14:30:00,6.0489,1.0,1.0,0.0,6.0418
2009-08-24 15:30:00,6.0484,0.0,1.0,0.0,6.0489
2009-08-25 09:30:00,6.0661,0.0,0.96,1.0,6.0484
2009-08-25 10:30:00,6.0639,0.0,0.8333333333333334,0.0,6.0661
2009-08-25 11:30:00,6.0843,0.0,1.0,0.0,6.0639
2009-08-25 13:30:00,6.0568,0.0,0.0,0.89,6.0846
2009-08-26 09:30:00,6.0412,1.0,0.975,0.0,6.0504
2009-08-26 10:30:00,6.0393,0.0,1.0,0.99,6.0412
2009-08-26 11:30:00,5.9764,0.0,1.0,0.0,6.0393
2009-08-26 12:30:00,5.9775,0.0,1.0,0.0,5.9764
2009-08-27 09:30:00,5.9654,0.0,1.0,1.0,5.9744
2009-08-27 10:30:00,5.9158,0.0,0.995,1.0,5.9654
2009-08-27 11:30:00,5.9321,0.0,1.0,0.0,5.9158
2009-08-27 13:30:00,5.9918,0.0,1.0,0.995,5.9482
2009-08-27 15:30:00,6.0196,1.0,0.0,0.8049999999999999,6.0489
2009-08-28 09:30:00,6.1439,0.0,1.0,1.0,6.0196
2009-08-28 10:30:00,6.0679,0.0,1.0,1.0,6.1439
2009-08-28 11:30:00,6.0886,0.99,1.0,0.0,6.0679
2009-08-28 12:30:00,6.04,0.97,0.0,0.0,6.0886
2009-08-28 15:30:00,6.0768,0.0,1.0,0.99,6.0589
2009-08-31 09:30:00,6.0082,0.62,1.0,0.0,6.0768
2009-08-31 12:30:00,6.0054,0.0,1.0,0.0,5.9882
2009-09-01 09:30:00,6.0386,1.0,1.0,0.97,5.9957
2009-09-01 10:30:00,6.0643,0.0,0.9933333333333332,0.0,6.0386
2009-09-01 13:30:00,5.9164,0.0,1.0,0.0,5.9551
2009-09-01 14:30:00,5.9536,0.0,1.0,0.0,5.9164
2009-09-01 15:30:00,5.9243,0.0,0.9833333333333334,0.0,5.9536
2009-09-02 09:30:00,5.8917,0.0,1.0,0.0,5.9243
2009-09-02 10:30:00,5.9464,0.0,1.0,0.0,5.8917
2009-09-02 11:30:00,5.9614,0.0,0.96,0.0,5.9464
2009-09-02 12:30:00,5.9551,0.0,0.8999999999999999,1.0,5.9614
2009-09-02 15:30:00,5.9307,0.99,1.0,0.0,5.9321
2009-09-03 09:30:00,5.9337,0.0,1.0,0.0,5.9307
2009-09-03 10:30:00,5.9221,1.0,0.99,0.0,5.9337
2009-09-03 11:30:00,5.9507,0.0,1.0,0.0,5.9221
2009-09-03 12:30:00,5.9524,0.0,1.0,0.0,5.9507
2009-09-03 14:30:00,5.9375,1.0,0.8,0.0,5.9593
2009-09-03 15:30:00,5.9411,0.0,1.0,0.0,5.9375
2009-09-04 09:30:00,5.9975,1.0,1.0,1.0,5.9411
2009-09-04 10:30:00,6.0268,0.0,1.0,1.0,5.9975
2009-09-04 11:30:00,6.0421,1.0,1.0,0.0,6.0268
2009-09-04 12:30:00,6.0786,0.0,1.0,0.95,6.0421
2009-09-04 14:30:00,6.0586,0.0,1.0,0.0,6.0826
2009-09-08 09:30:00,6.1729,0.0,1.0,1.0,6.0714
2009-09-08 10:30:00,6.1668,1.0,0.995,0.0,6.1729
2009-09-08 13:30:00,6.1561,0.0,1.0,1.0,6.1536
2009-09-08 14:30:00,6.1625,0.99,1.0,0.0,6.1561
2009-09-08 15:30:00,6.1643,0.0,1.0,0.76,6.1625
2009-09-09 09:30:00,6.1375,0.0,0.98,0.69,6.1643
2009-09-09 10:30:00,6.1636,0.0,0.9433333333333334,0.0,6.1375
2009-09-09 11:30:00,6.1771,0.0,0.99,0.0,6.1636
2009-09-09 12:30:00,6.2014,1.0,1.0,1.0,6.1771
2009-09-09 15:30:00,6.1046,0.68,1.0,0.0,6.1037
2009-09-10 09:30:00,6.1621,0.91,1.0,0.0,6.1046
2009-09-10 10:30:00,6.115,1.0,1.0,0.0,6.1621
2009-09-10 11:30:00,6.1182,0.0,0.0,0.9933333333333332,6.115
2009-09-10 12:30:00,6.1254,1.0,0.99,0.99,6.1182
2009-09-10 13:30:00,6.1121,0.99,1.0,0.49,6.1254
2009-09-10 14:30:00,6.1554,0.99,1.0,1.0,6.1121
